Rank,Mode,Percentage,Category,Season
Silver 3,Doubles,91.212,Standard,17
Gold 1,Doubles,84.995,Standard,17
Gold 2,Doubles,76.479,Standard,17
Gold 3,Doubles,66.396,Standard,17
Platinum 1,Doubles,55.725,Standard,17
Platinum 2,Doubles,44.862,Standard,17
Platinum 3,Doubles,35.418,Standard,17
Diamond 1,Doubles,27.657,Standard,17
Diamond 2,Doubles,19.192,Standard,17
Diamond 3,Doubles,13.145,Standard,17
Champion 1,Doubles,8.83,Standard,17
Champion 2,Doubles,4.405,Standard,17
Champion 3,Doubles,2.193,Standard,17
GC 1,Doubles,1.058,Standard,17
GC 2,Doubles,0.356,Standard,17
GC 3,Doubles,0.108,Standard,17
SL,Doubles,0.037,Standard,17
Bronze 1,Rumble,99.999,Extra,17
Bronze 2,Rumble,99.984,Extra,17
Bronze 3,Rumble,99.899,Extra,17
Silver 1,Rumble,99.572,Extra,17
Silver 2,Rumble,98.443,Extra,17
Silver 3,Rumble,95.596,Extra,17
Gold 1,Rumble,89.272,Extra,17
Gold 2,Rumble,78.27,Extra,17
Gold 3,Rumble,62.539,Extra,17
Platinum 1,Rumble,43.681,Extra,17
Platinum 2,Rumble,27.93,Extra,17
Platinum 3,Rumble,16.582,Extra,17
Diamond 1,Rumble,9.156,Extra,17
Diamond 2,Rumble,5.12,Extra,17
Diamond 3,Rumble,2.802,Extra,17
Champion 1,Rumble,1.51,Extra,17
Champion 2,Rumble,0.801,Extra,17
Champion 3,Rumble,0.418,Extra,17
GC 1,Rumble,0.183,Extra,17
GC 2,Rumble,0.058,Extra,17
GC 3,Rumble,0.016,Extra,17
SL,Rumble,0.007,Extra,17
Bronze 1,Hoops,100.004,Extra,17
Bronze 2,Hoops,99.99,Extra,17
Bronze 3,Hoops,99.921,Extra,17
Silver 1,Hoops,99.53,Extra,17
Silver 2,Hoops,98.251,Extra,17
Silver 3,Hoops,94.501,Extra,17
Gold 1,Hoops,87.057,Extra,17
Gold 2,Hoops,74.959,Extra,17
Gold 3,Hoops,58.976,Extra,17
Platinum 1,Hoops,42.19,Extra,17
Platinum 2,Hoops,27.196,Extra,17
Platinum 3,Hoops,17.149,Extra,17
Diamond 1,Hoops,9.893,Extra,17
Diamond 2,Hoops,5.717,Extra,17
Diamond 3,Hoops,3.252,Extra,17
Champion 1,Hoops,1.842,Extra,17
Champion 2,Hoops,1.014,Extra,17
Champion 3,Hoops,0.551,Extra,17
GC 1,Hoops,0.262,Extra,17
GC 2,Hoops,0.101,Extra,17
GC 3,Hoops,0.03,Extra,17
SL,Hoops,0.016,Extra,17
Bronze 1,Snow Day,100.002,Extra,17
Bronze 2,Snow Day,99.827,Extra,17
Bronze 3,Snow Day,99.459,Extra,17
Silver 1,Snow Day,98.414,Extra,17
Silver 2,Snow Day,96.321,Extra,17
Silver 3,Snow Day,92.18,Extra,17
Gold 1,Snow Day,84.482,Extra,17
Gold 2,Snow Day,73.071,Extra,17
Gold 3,Snow Day,59.078,Extra,17
Platinum 1,Snow Day,44.235,Extra,17
Platinum 2,Snow Day,31.641,Extra,17
Platinum 3,Snow Day,21.26,Extra,17
Diamond 1,Snow Day,13.509,Extra,17
Diamond 2,Snow Day,8.309,Extra,17
Diamond 3,Snow Day,4.834,Extra,17
Champion 1,Snow Day,2.732,Extra,17
Champion 2,Snow Day,1.543,Extra,17
Champion 3,Snow Day,0.842,Extra,17
GC 1,Snow Day,0.323,Extra,17
GC 2,Snow Day,0.128,Extra,17
GC 3,Snow Day,0.04,Extra,17
SL,Snow Day,0.024,Extra,17
Bronze 1,Solo Duel,99.999,Standard,16
Bronze 2,Solo Duel,99.973,Standard,16
Bronze 3,Solo Duel,99.81,Standard,16
Silver 1,Solo Duel,99.155,Standard,16
Silver 2,Solo Duel,97.353,Standard,16
Silver 3,Solo Duel,93.444,Standard,16
Gold 1,Solo Duel,86.443,Standard,16
Gold 2,Solo Duel,75.56,Standard,16
Gold 3,Solo Duel,61.221,Standard,16
Platinum 1,Solo Duel,44.922,Standard,16
Platinum 2,Solo Duel,28.514,Standard,16
Platinum 3,Solo Duel,15.944,Standard,16
Diamond 1,Solo Duel,8.238,Standard,16
Diamond 2,Solo Duel,4.024,Standard,16
Diamond 3,Solo Duel,1.951,Standard,16
Champion 1,Solo Duel,0.948,Standard,16
Champion 2,Solo Duel,0.443,Standard,16
Champion 3,Solo Duel,0.211,Standard,16
GC 1,Solo Duel,0.104,Standard,16
GC 2,Solo Duel,0.05,Standard,16
GC 3,Solo Duel,0.025,Standard,16
SL,Solo Duel,0.013,Standard,16
Bronze 1,Standard,100.002,Standard,16
Bronze 2,Standard,99.887,Standard,16
Bronze 3,Standard,99.518,Standard,16
Silver 1,Standard,98.464,Standard,16
Silver 2,Standard,95.905,Standard,16
Silver 3,Standard,90.582,Standard,16
Gold 1,Standard,81.657,Standard,16
Gold 2,Standard,69.191,Standard,16
Gold 3,Standard,55.522,Standard,16
Platinum 1,Standard,42.856,Standard,16
Platinum 2,Standard,31.961,Standard,16
Platinum 3,Standard,23.456,Standard,16
Diamond 1,Standard,16.921,Standard,16
Diamond 2,Standard,10.517,Standard,16
Diamond 3,Standard,6.388,Standard,16
Champion 1,Standard,3.776,Standard,16
Champion 2,Standard,1.582,Standard,16
Champion 3,Standard,0.66,Standard,16
GC 1,Standard,0.263,Standard,16
GC 2,Standard,0.075,Standard,16
GC 3,Standard,0.018,Standard,16
SL,Standard,0.003,Standard,16
Bronze 1,Doubles,100.002,Standard,16
Bronze 2,Doubles,99.836,Standard,16
Bronze 3,Doubles,99.377,Standard,16
Silver 1,Doubles,98.312,Standard,16
Silver 2,Doubles,96.155,Standard,16
Silver 3,Doubles,92.377,Standard,16
Gold 1,Doubles,86.531,Standard,16
Gold 2,Doubles,78.315,Standard,16
Gold 3,Doubles,68.286,Standard,16
Platinum 1,Doubles,57.43,Standard,16
Platinum 2,Doubles,46.239,Standard,16
Platinum 3,Doubles,36.331,Standard,16
Diamond 1,Doubles,28.163,Standard,16
Diamond 2,Doubles,19.332,Standard,16
Diamond 3,Doubles,13.07,Standard,16
Champion 1,Doubles,8.656,Standard,16
Champion 2,Doubles,4.246,Standard,16
Champion 3,Doubles,2.071,Standard,16
GC 1,Doubles,0.971,Standard,16
GC 2,Doubles,0.322,Standard,16
GC 3,Doubles,0.093,Standard,16
SL,Doubles,0.03,Standard,16
Bronze 1,Rumble,100.002,Extra,16
Bronze 2,Rumble,99.982,Extra,16
Bronze 3,Rumble,99.87,Extra,16
Silver 1,Rumble,99.445,Extra,16
Silver 2,Rumble,98.211,Extra,16
Silver 3,Rumble,95.262,Extra,16
Gold 1,Rumble,89.108,Extra,16
Gold 2,Rumble,78.284,Extra,16
Gold 3,Rumble,62.526,Extra,16
Platinum 1,Rumble,44.122,Extra,16
Platinum 2,Rumble,27.611,Extra,16
Platinum 3,Rumble,16.09,Extra,16
Diamond 1,Rumble,8.958,Extra,16
Diamond 2,Rumble,4.948,Extra,16
Diamond 3,Rumble,2.725,Extra,16
Champion 1,Rumble,1.498,Extra,16
Champion 2,Rumble,0.796,Extra,16
Champion 3,Rumble,0.424,Extra,16
GC 1,Rumble,0.184,Extra,16
GC 2,Rumble,0.059,Extra,16
GC 3,Rumble,0.014,Extra,16
SL,Rumble,0.006,Extra,16
Bronze 1,Hoops,100.001,Extra,16
Bronze 2,Hoops,99.993,Extra,16
Bronze 3,Hoops,99.961,Extra,16
Silver 1,Hoops,99.759,Extra,16
Silver 2,Hoops,99.005,Extra,16
Silver 3,Hoops,96.684,Extra,16
Gold 1,Hoops,90.561,Extra,16
Gold 2,Hoops,79.03,Extra,16
Gold 3,Hoops,61.682,Extra,16
Platinum 1,Hoops,43.048,Extra,16
Platinum 2,Hoops,26.983,Extra,16
